date,campaign_external_id,country,currency,spend,impressions,clicks,installs
2026-07-01,meta-us-001,US,USD,2600,100000,1600,410
2026-07-02,meta-us-001,US,USD,2655,100800,1588,405
2026-07-03,meta-us-001,US,USD,2710,101600,1576,400
2026-07-04,meta-us-001,US,USD,2765,102400,1564,395
2026-07-05,meta-us-001,US,USD,2820,103200,1552,390
2026-07-06,meta-us-001,US,USD,2875,104000,1540,385
2026-07-07,meta-us-001,US,USD,2930,104800,1528,380
2026-07-08,meta-us-001,US,USD,2985,105600,1516,375
2026-07-09,meta-us-001,US,USD,3040,106400,1504,370
2026-07-10,meta-us-001,US,USD,3095,107200,1492,365
2026-07-11,meta-us-001,US,USD,3150,108000,1480,360
2026-07-12,meta-us-001,US,USD,3205,108800,1468,355
2026-07-13,meta-us-001,US,USD,3260,109600,1456,350
2026-07-14,meta-us-001,US,USD,3315,110400,1444,345
2026-07-15,meta-us-001,US,USD,3370,111200,1432,340
2026-07-16,meta-us-001,US,USD,3425,112000,1420,335
2026-07-17,meta-us-001,US,USD,3480,112800,1408,330
2026-07-18,meta-us-001,US,USD,3535,113600,1396,325
2026-07-19,meta-us-001,US,USD,3590,114400,1384,320
2026-07-20,meta-us-001,US,USD,3645,115200,1372,315
2026-07-21,meta-us-001,US,USD,3700,116000,1360,310
2026-07-22,meta-us-001,US,USD,3755,116800,1348,305
2026-07-23,meta-us-001,US,USD,3810,117600,1336,300
2026-07-24,meta-us-001,US,USD,3865,118400,1324,295
2026-07-25,meta-us-001,US,USD,3920,119200,1312,290
2026-07-26,meta-us-001,US,USD,3975,120000,1300,285
2026-07-27,meta-us-001,US,USD,4030,120800,1288,280
2026-07-28,meta-us-001,US,USD,4085,121600,1276,275
2026-07-29,meta-us-001,US,USD,4140,122400,1264,270
2026-07-30,meta-us-001,US,USD,4195,123200,1252,265
