date,campaign_external_id,creative_external_id,country,currency,spend,impressions,clicks,installs,frequency
2026-07-01,meta-us-001,creative-video-302,US,USD,1820,70000,920,287,2.00
2026-07-02,meta-us-001,creative-video-302,US,USD,1858,70000,920,283,2.10
2026-07-03,meta-us-001,creative-video-302,US,USD,1897,70000,920,280,2.19
2026-07-04,meta-us-001,creative-video-302,US,USD,1935,70000,920,276,2.29
2026-07-05,meta-us-001,creative-video-302,US,USD,1974,70000,920,273,2.39
2026-07-06,meta-us-001,creative-video-302,US,USD,2012,70000,920,269,2.48
2026-07-07,meta-us-001,creative-video-302,US,USD,2051,70000,920,266,2.58
2026-07-08,meta-us-001,creative-video-302,US,USD,2089,70000,920,262,2.68
2026-07-09,meta-us-001,creative-video-302,US,USD,2128,70000,920,259,2.77
2026-07-10,meta-us-001,creative-video-302,US,USD,2166,70000,920,255,2.87
2026-07-11,meta-us-001,creative-video-302,US,USD,2205,70000,920,252,2.97
2026-07-12,meta-us-001,creative-video-302,US,USD,2243,70000,920,248,3.06
2026-07-13,meta-us-001,creative-video-302,US,USD,2282,70000,920,245,3.16
2026-07-14,meta-us-001,creative-video-302,US,USD,2320,70000,920,241,3.26
2026-07-15,meta-us-001,creative-video-302,US,USD,2359,70000,920,238,3.35
2026-07-16,meta-us-001,creative-video-302,US,USD,2397,70000,920,234,3.45
2026-07-17,meta-us-001,creative-video-302,US,USD,2436,70000,920,231,3.54
2026-07-18,meta-us-001,creative-video-302,US,USD,2474,70000,920,227,3.64
2026-07-19,meta-us-001,creative-video-302,US,USD,2513,70000,920,224,3.74
2026-07-20,meta-us-001,creative-video-302,US,USD,2551,70000,920,220,3.83
2026-07-21,meta-us-001,creative-video-302,US,USD,2590,70000,920,217,3.93
2026-07-22,meta-us-001,creative-video-302,US,USD,2628,70000,920,213,4.03
2026-07-23,meta-us-001,creative-video-302,US,USD,2667,70000,920,210,4.12
2026-07-24,meta-us-001,creative-video-302,US,USD,2705,70000,820,206,4.22
2026-07-25,meta-us-001,creative-video-302,US,USD,2744,70000,720,203,4.32
2026-07-26,meta-us-001,creative-video-302,US,USD,2782,70000,620,199,4.41
2026-07-27,meta-us-001,creative-video-302,US,USD,2821,70000,520,196,4.51
2026-07-28,meta-us-001,creative-video-302,US,USD,2859,70000,420,192,4.61
2026-07-29,meta-us-001,creative-video-302,US,USD,2898,70000,320,189,4.70
2026-07-30,meta-us-001,creative-video-302,US,USD,2936,70000,220,185,4.80
