date,campaign_external_id,country,currency,registrations,active_users,payers,revenue_d1,revenue_d3,revenue_d7
2026-07-01,meta-us-001,US,USD,800,560,24,693,1609,2600
2026-07-01,google-jp-001,JP,USD,760,590,43,685,1591,2571
2026-07-01,tiktok-kr-001,KR,USD,620,470,30,438,1018,1645
2026-07-02,meta-us-001,US,USD,800,560,24,708,1643,2655
2026-07-02,google-jp-001,JP,USD,760,590,43,685,1591,2571
2026-07-02,tiktok-kr-001,KR,USD,620,470,30,448,1041,1682
2026-07-03,meta-us-001,US,USD,800,560,24,722,1677,2710
2026-07-03,google-jp-001,JP,USD,760,590,43,685,1591,2571
2026-07-03,tiktok-kr-001,KR,USD,620,470,30,458,1063,1718
2026-07-04,meta-us-001,US,USD,800,560,24,737,1711,2765
2026-07-04,google-jp-001,JP,USD,760,590,43,685,1591,2571
2026-07-04,tiktok-kr-001,KR,USD,620,470,30,468,1086,1755
2026-07-05,meta-us-001,US,USD,800,560,24,752,1745,2820
2026-07-05,google-jp-001,JP,USD,760,590,43,685,1591,2571
2026-07-05,tiktok-kr-001,KR,USD,620,470,30,438,1018,1645
2026-07-06,meta-us-001,US,USD,800,560,24,766,1779,2875
2026-07-06,google-jp-001,JP,USD,760,590,43,685,1591,2571
2026-07-06,tiktok-kr-001,KR,USD,620,470,30,448,1041,1682
2026-07-07,meta-us-001,US,USD,800,560,24,781,1813,2930
2026-07-07,google-jp-001,JP,USD,760,590,43,685,1591,2571
2026-07-07,tiktok-kr-001,KR,USD,620,470,30,458,1063,1718
2026-07-08,meta-us-001,US,USD,800,560,24,796,1847,2985
2026-07-08,google-jp-001,JP,USD,760,590,43,685,1591,2571
2026-07-08,tiktok-kr-001,KR,USD,620,470,30,468,1086,1755
2026-07-09,meta-us-001,US,USD,800,560,24,810,1881,3040
2026-07-09,google-jp-001,JP,USD,760,590,43,685,1591,2571
2026-07-09,tiktok-kr-001,KR,USD,620,470,30,438,1018,1645
2026-07-10,meta-us-001,US,USD,800,560,24,825,1915,3095
2026-07-10,google-jp-001,JP,USD,760,590,43,685,1591,2571
2026-07-10,tiktok-kr-001,KR,USD,620,470,30,448,1041,1682
