date,campaign_external_id,country,currency,installs,activations,payers,revenue
2026-07-01,meta-us-001,US,USD,360,280,24,2730
2026-07-01,google-jp-001,JP,USD,300,275,42,2700
2026-07-01,tiktok-kr-001,KR,USD,230,205,29,1728
2026-07-02,meta-us-001,US,USD,356,280,24,2787
2026-07-02,google-jp-001,JP,USD,301,275,42,2700
2026-07-02,tiktok-kr-001,KR,USD,231,205,29,1766
2026-07-03,meta-us-001,US,USD,352,280,24,2845
2026-07-03,google-jp-001,JP,USD,302,275,42,2700
2026-07-03,tiktok-kr-001,KR,USD,232,205,29,1804
2026-07-04,meta-us-001,US,USD,347,280,24,2903
2026-07-04,google-jp-001,JP,USD,303,275,42,2700
2026-07-04,tiktok-kr-001,KR,USD,233,205,29,1843
2026-07-05,meta-us-001,US,USD,343,280,24,2961
2026-07-05,google-jp-001,JP,USD,304,275,42,2700
2026-07-05,tiktok-kr-001,KR,USD,234,205,29,1728
2026-07-06,meta-us-001,US,USD,338,280,24,3018
2026-07-06,google-jp-001,JP,USD,300,275,42,2700
2026-07-06,tiktok-kr-001,KR,USD,235,205,29,1766
2026-07-07,meta-us-001,US,USD,334,280,24,3076
2026-07-07,google-jp-001,JP,USD,301,275,42,2700
2026-07-07,tiktok-kr-001,KR,USD,236,205,29,1804
2026-07-08,meta-us-001,US,USD,330,280,24,3134
2026-07-08,google-jp-001,JP,USD,302,275,42,2700
2026-07-08,tiktok-kr-001,KR,USD,230,205,29,1843
2026-07-09,meta-us-001,US,USD,325,280,24,3192
2026-07-09,google-jp-001,JP,USD,303,275,42,2700
2026-07-09,tiktok-kr-001,KR,USD,231,205,29,1728
2026-07-10,meta-us-001,US,USD,321,280,24,3249
2026-07-10,google-jp-001,JP,USD,304,275,42,2700
2026-07-10,tiktok-kr-001,KR,USD,232,205,29,1766
